index,Isolate,AMIKACIN,AMOXICILLIN,AMOXICILLIN_CLAVULANATE,CAPREOMYCIN,CIPROFLOXACIN,CLARITHROMYCIN,CLOFAZIMINE,CYCLOSERINE,ETHAMBUTOL,ETHIONAMIDE,GATIFLOXACIN,ISONIAZID,KANAMYCIN,LEVOFLOXACIN,MOXIFLOXACIN,NICOTINAMIDE,OFLOXACIN,PARA-AMINOSALICYLIC_ACID,PROTHIONAMIDE,PYRAZINAMIDE,RIFABUTIN,RIFAMPICIN,STREPTOMYCIN,category,ETHIOMIDE,IMIPENEM,LINEZOLID,OXIFLOXACIN,PARA_AMINOSALICYLIC_ACID,run,run_combined,bioproject,biosample,internal,path,Isolate_original,accessions
35,01R1321,R,,,R,,R,,,R,S,R,R,R,R,R,,R,S,,R,R,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R1321/pilon/01R1321.vcf,01R1321,SAMN05915261
36,01R1339,R,,,,,S,,,S,,,R,R,R,,,R,S,,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R1339/pilon/01R1339.vcf,01R1339,ERS2401108
37,01R1341,R,,,R,,,,,R,R,,R,R,R,,,R,,,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R1341/pilon/01R1341.vcf,01R1341,ERS2401387
38,01R1386,S,,,S,,,,,R,R,,R,S,R,S,,S,S,,S,R,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R1386/pilon/01R1386.vcf,01R1386,SAMN05916268
39,01R1387,S,,,S,,R,,,R,R,,R,S,R,R,,S,S,,R,R,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R1387/pilon/01R1387.vcf,01R1387,SAMN06094078
40,01R1466,,,,S,,,,,R,R,,R,S,,,,R,R,,S,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R1466/pilon/01R1466.vcf,01R1466,ERS2401090
41,01R1468,,,,,,,,,R,,,R,R,,,,,,,R,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R1468/pilon/01R1468.vcf,01R1468,ERS2401168
42,01R1499,R,,,R,,,,,R,R,,R,R,R,,,R,S,,NAN,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R1499/pilon/01R1499.vcf,01R1499,ERS2401269
43,01R1505,S,,,S,,R,,,R,S,R,R,S,R,R,,R,S,,R,R,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R1505/pilon/01R1505.vcf,01R1505,SAMN05916235
44,01R1540,R,,R,,,,,,S,R,,R,R,R,,,R,S,,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R1540/pilon/01R1540.vcf,01R1540,ERS2401395
45,01R1559,S,,,S,,R,,,R,S,R,R,S,R,R,,R,S,,S,R,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R1559/pilon/01R1559.vcf,01R1559,SAMN05915263
46,01R1599,S,,,S,,R,,,R,R,,R,S,R,R,,R,S,,R,R,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R1599/pilon/01R1599.vcf,01R1599,SAMN05916274
54,02R0016,R,,,R,,R,,,R,S,,R,R,S,,,S,S,,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0016/pilon/02R0016.vcf,02R0016,ERS2401388
55,02R0099,S,,,S,,,,,R,S,,R,S,,S,,S,,,S,S,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0099/pilon/02R0099.vcf,02R0099,SAMN05916240
56,02R0119,S,,,S,,,,,R,S,,R,S,S,S,,S,S,,R,R,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0119/pilon/02R0119.vcf,02R0119,SAMN05916278
57,02R0191,R,,,R,,R,,,R,R,R,R,R,R,R,,R,R,,R,R,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0191/pilon/02R0191.vcf,02R0191,SAMN06094082
58,02R0236,S,,,,,,,,S,,,R,S,S,R,,S,,,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0236/pilon/02R0236.vcf,02R0236,SAMN06094086
59,02R0237,S,,,S,,,,,R,R,,R,S,S,,,S,S,,NAN,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0237/pilon/02R0237.vcf,02R0237,ERS2401180
60,02R0241,R,,,R,,R,,,R,R,,R,R,R,,,R,S,,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0241/pilon/02R0241.vcf,02R0241,ERS2401340
