index,Isolate,AMIKACIN,AMOXICILLIN,AMOXICILLIN_CLAVULANATE,CAPREOMYCIN,CIPROFLOXACIN,CLARITHROMYCIN,CLOFAZIMINE,CYCLOSERINE,ETHAMBUTOL,ETHIONAMIDE,GATIFLOXACIN,ISONIAZID,KANAMYCIN,LEVOFLOXACIN,MOXIFLOXACIN,NICOTINAMIDE,OFLOXACIN,PARA-AMINOSALICYLIC_ACID,PROTHIONAMIDE,PYRAZINAMIDE,RIFABUTIN,RIFAMPICIN,STREPTOMYCIN,category,ETHIOMIDE,IMIPENEM,LINEZOLID,OXIFLOXACIN,PARA_AMINOSALICYLIC_ACID,run,run_combined,bioproject,biosample,internal,path,Isolate_original,accessions
5337,SAMEA3392630,,,,,,,,,S,,,R,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3392630/pilon/SAMEA3392630.vcf,SAMEA3392630,SAMEA3392630
5339,SAMEA1101726,,,,,,,,,R,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1101726/pilon/SAMEA1101726.vcf,SAMEA1101726,SAMEA1101726
5356,SAMEA3242451,,,,,,,,,R,,,NAN,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3242451/pilon/SAMEA3242451.vcf,SAMEA3242451,SAMEA3242451
5363,SAMN07236404,,,,,,,,,NAN,,,R,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN07236404/pilon/SAMN07236404.vcf,SAMN07236404,SAMN07236404
5364,SAMN07236411,,,,,,,,,R,,,R,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN07236411/pilon/SAMN07236411.vcf,SAMN07236411,SAMN07236411
5365,SAMEA1101714,,,,,,,,,R,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1101714/pilon/SAMEA1101714.vcf,SAMEA1101714,SAMEA1101714
5367,SAMEA2533635,,,,,,,,,R,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA2533635/pilon/SAMEA2533635.vcf,SAMEA2533635,SAMEA2533635
5369,SAMEA3402909,,,,,,,,,R,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3402909/pilon/SAMEA3402909.vcf,SAMEA3402909,SAMEA3402909
5373,SAMEA3430695,,,,,,,,,R,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3430695/pilon/SAMEA3430695.vcf,SAMEA3430695,SAMEA3430695
5377,SAMEA1101793,,,,,,,,,S,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1101793/pilon/SAMEA1101793.vcf,SAMEA1101793,SAMEA1101793
5387,SAMEA104172475,,,,,,,,,R,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA104172475/pilon/SAMEA104172475.vcf,SAMEA104172475,SAMEA104172475
5393,SAMEA3392632,,,,,,,,,R,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3392632/pilon/SAMEA3392632.vcf,SAMEA3392632,SAMEA3392632
5396,SAMN07236516,,,,,,,,,S,,,R,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN07236516/pilon/SAMN07236516.vcf,SAMN07236516,SAMN07236516
5399,SAMEA3262672,,,,,,,,,S,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3262672/pilon/SAMEA3262672.vcf,SAMEA3262672,SAMEA3262672
5401,SAMEA3368588,,,,,,,,,R,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3368588/pilon/SAMEA3368588.vcf,SAMEA3368588,SAMEA3368588
5404,SAMEA1119325,,,,,,,,,S,,,S,,,,,,,,R,,S,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1119325/pilon/SAMEA1119325.vcf,SAMEA1119325,SAMEA1119325
5412,SAMEA3402868,,,,,,,,,R,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3402868/pilon/SAMEA3402868.vcf,SAMEA3402868,SAMEA3402868
5414,SAMEA3242494,,,,,,,,,R,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3242494/pilon/SAMEA3242494.vcf,SAMEA3242494,SAMEA3242494
5417,SAMEA3443177,,,,,,,,,S,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3443177/pilon/SAMEA3443177.vcf,SAMEA3443177,SAMEA3443177
5418,SAMEA3242428,,,,,,,,,S,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3242428/pilon/SAMEA3242428.vcf,SAMEA3242428,SAMEA3242428
5426,SAMEA3420955,,,,,,,,,R,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3420955/pilon/SAMEA3420955.vcf,SAMEA3420955,SAMEA3420955
5436,SAMN07236384,,,,,,,,,S,,,R,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN07236384/pilon/SAMN07236384.vcf,SAMN07236384,SAMN07236384
5438,SAMN07766441,,,,,,,,,S,,,R,,,,,,,,S,,S,R,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN07766441/pilon/SAMN07766441.vcf,SAMN07766441,SAMN07766441
5439,SAMEA3393053,,,,,,,,,R,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3393053/pilon/SAMEA3393053.vcf,SAMEA3393053,SAMEA3393053
5441,SAMEA3432809,,,,,,,,,S,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3432809/pilon/SAMEA3432809.vcf,SAMEA3432809,SAMEA3432809
5446,SAMEA1101307,,,,,,,,,NAN,,,R,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1101307/pilon/SAMEA1101307.vcf,SAMEA1101307,SAMEA1101307
5449,SAMEA3292094,,,,,,,,,S,,,R,,,,,,,,S,,S,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3292094/pilon/SAMEA3292094.vcf,SAMEA3292094,SAMEA3292094
5450,SAMEA3215195,,,,,,,,,S,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3215195/pilon/SAMEA3215195.vcf,SAMEA3215195,SAMEA3215195
5467,SAMN07766075,,,,,,,,,S,,,R,,,,,,,,NAN,,S,S,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN07766075/pilon/SAMN07766075.vcf,SAMN07766075,SAMN07766075
5478,SAMEA1103147,,,,,,,,,R,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1103147/pilon/SAMEA1103147.vcf,SAMEA1103147,SAMEA1103147
5484,SAMEA1101371,,,,,,,,,NAN,,,R,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1101371/pilon/SAMEA1101371.vcf,SAMEA1101371,SAMEA1101371
5492,SAMEA3443363,,,,,,,,,NAN,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3443363/pilon/SAMEA3443363.vcf,SAMEA3443363,SAMEA3443363
5499,SAMN07659425,,,,,,,,,S,,,S,,,,,,,,R,,S,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN07659425/pilon/SAMN07659425.vcf,SAMN07659425,SAMN07659425
5500,SAMN08215263,,,,,,,,,S,,,R,,,,,,,,S,,S,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN08215263/pilon/SAMN08215263.vcf,SAMN08215263,SAMN08215263
5507,SAMN07236311,,,,,,,,,R,,,R,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN07236311/pilon/SAMN07236311.vcf,SAMN07236311,SAMN07236311
5510,SAMEA1101619,,,,,,,,,S,,,R,,,,,,,,S,,S,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1101619/pilon/SAMEA1101619.vcf,SAMEA1101619,SAMEA1101619
5512,SAMN07766246,,,,,,,,,S,,,R,,,,,,,,S,,S,R,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN07766246/pilon/SAMN07766246.vcf,SAMN07766246,SAMN07766246
5518,SAMEA3242479,,,,,,,,,S,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3242479/pilon/SAMEA3242479.vcf,SAMEA3242479,SAMEA3242479
5522,SAMEA3359394,,,,,,,,,S,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3359394/pilon/SAMEA3359394.vcf,SAMEA3359394,SAMEA3359394
5531,SAMN07360952,,,,,,,,,R,,,R,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN07360952/pilon/SAMN07360952.vcf,SAMN07360952,SAMN07360952
5539,SAMEA1118307,,,,,,,,,S,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1118307/pilon/SAMEA1118307.vcf,SAMEA1118307,SAMEA1118307
5547,SAMN08162230,,,,,,,,,R,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN08162230/pilon/SAMN08162230.vcf,SAMN08162230,SAMN08162230
5549,SAMN07766028,,,,,,,,,R,,,S,,,,,,,,NAN,,S,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN07766028/pilon/SAMN07766028.vcf,SAMN07766028,SAMN07766028
5552,SAMN07766488,,,,,,,,,S,,,R,,,,,,,,S,,S,S,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN07766488/pilon/SAMN07766488.vcf,SAMN07766488,SAMN07766488
5557,SAMN08214882,,,,,,,,,R,,,S,,,,,,,,NAN,,S,S,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN08214882/pilon/SAMN08214882.vcf,SAMN08214882,SAMN08214882
5570,SAMEA1118725,,,,,,,,,S,,,R,,,,,,,,S,,S,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1118725/pilon/SAMEA1118725.vcf,SAMEA1118725,SAMEA1118725
5574,SAMEA3392668,,,,,,,,,R,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3392668/pilon/SAMEA3392668.vcf,SAMEA3392668,SAMEA3392668
5582,SAMEA2709830,,,,,,,,,R,,,NAN,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA2709830/pilon/SAMEA2709830.vcf,SAMEA2709830,SAMEA2709830
5597,SAMEA1102360,,,,,,,,,NAN,,,R,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1102360/pilon/SAMEA1102360.vcf,SAMEA1102360,SAMEA1102360
5608,SAMEA1102636,,,,,,,,,R,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1102636/pilon/SAMEA1102636.vcf,SAMEA1102636,SAMEA1102636
5610,SAMEA3220381,,,,,,,,,R,,,NAN,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3220381/pilon/SAMEA3220381.vcf,SAMEA3220381,SAMEA3220381
5618,SAMEA3403845,,,,,,,,,S,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3403845/pilon/SAMEA3403845.vcf,SAMEA3403845,SAMEA3403845
5629,SAMEA1119745,,,,,,,,,S,,,R,,,,,,,,S,,S,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1119745/pilon/SAMEA1119745.vcf,SAMEA1119745,SAMEA1119745
5630,SAMEA1101880,,,,,,,,,R,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1101880/pilon/SAMEA1101880.vcf,SAMEA1101880,SAMEA1101880
5654,SAMEA3401931,,,,,,,,,R,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3401931/pilon/SAMEA3401931.vcf,SAMEA3401931,SAMEA3401931
5658,SAMEA3444106,,,,,,,,,R,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3444106/pilon/SAMEA3444106.vcf,SAMEA3444106,SAMEA3444106
5659,SAMEA2709894,,,,,,,,,S,,,S,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA2709894/pilon/SAMEA2709894.vcf,SAMEA2709894,SAMEA2709894
5666,SAMEA3436990,,,,,,,,,S,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3436990/pilon/SAMEA3436990.vcf,SAMEA3436990,SAMEA3436990
5690,SAMEA1119372,,,,,,,,,S,,,S,,,,,,,,R,,S,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1119372/pilon/SAMEA1119372.vcf,SAMEA1119372,SAMEA1119372
5694,SAMEA3447585,,,,,,,,,S,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3447585/pilon/SAMEA3447585.vcf,SAMEA3447585,SAMEA3447585
5705,SAMEA1102249,,,,,,,,,S,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1102249/pilon/SAMEA1102249.vcf,SAMEA1102249,SAMEA1102249
5706,SAMEA2534397,,,,,,,,,R,,,R,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA2534397/pilon/SAMEA2534397.vcf,SAMEA2534397,SAMEA2534397
5724,SAMEA3209551,,,,,,,,,S,,,S,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3209551/pilon/SAMEA3209551.vcf,SAMEA3209551,SAMEA3209551
5739,SAMEA3400993,,,,,,,,,R,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3400993/pilon/SAMEA3400993.vcf,SAMEA3400993,SAMEA3400993
5748,SAMEA3420858,,,,,,,,,R,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3420858/pilon/SAMEA3420858.vcf,SAMEA3420858,SAMEA3420858
5755,SAMEA2534092,,,,,,,,,R,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA2534092/pilon/SAMEA2534092.vcf,SAMEA2534092,SAMEA2534092
5766,SAMEA1119603,,,,,,,,,R,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1119603/pilon/SAMEA1119603.vcf,SAMEA1119603,SAMEA1119603
5769,SAMEA1119576,,,,,,,,,S,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1119576/pilon/SAMEA1119576.vcf,SAMEA1119576,SAMEA1119576
5774,SAMEA1118923,,,,,,,,,R,,,R,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1118923/pilon/SAMEA1118923.vcf,SAMEA1118923,SAMEA1118923
5776,SAMEA1119521,,,,,,,,,S,,,R,,,,,,,,S,,S,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1119521/pilon/SAMEA1119521.vcf,SAMEA1119521,SAMEA1119521
5778,SAMN07236382,,,,,,,,,NAN,,,R,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN07236382/pilon/SAMN07236382.vcf,SAMN07236382,SAMN07236382
5785,SAMN08215344,,,,,,,,,S,,,R,,,,,,,,S,,S,S,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN08215344/pilon/SAMN08215344.vcf,SAMN08215344,SAMN08215344
5793,SAMEA3392667,,,,,,,,,S,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3392667/pilon/SAMEA3392667.vcf,SAMEA3392667,SAMEA3392667
5800,SAMEA3393052,,,,,,,,,R,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3393052/pilon/SAMEA3393052.vcf,SAMEA3393052,SAMEA3393052
5819,SAMEA3444054,,,,,,,,,S,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3444054/pilon/SAMEA3444054.vcf,SAMEA3444054,SAMEA3444054
5825,SAMN07766010,,,,,,,,,S,,,R,,,,,,,,NAN,,S,R,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN07766010/pilon/SAMN07766010.vcf,SAMN07766010,SAMN07766010
5827,SAMEA3305652,,,,,,,,,R,,,NAN,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3305652/pilon/SAMEA3305652.vcf,SAMEA3305652,SAMEA3305652
5833,SAMEA3444491,,,,,,,,,S,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3444491/pilon/SAMEA3444491.vcf,SAMEA3444491,SAMEA3444491
5835,SAMN07236276,,,,,,,,,R,,,R,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN07236276/pilon/SAMN07236276.vcf,SAMN07236276,SAMN07236276
5839,SAMEA1101681,,,,,,,,,S,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1101681/pilon/SAMEA1101681.vcf,SAMEA1101681,SAMEA1101681
5840,SAMEA3432845,,,,,,,,,S,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3432845/pilon/SAMEA3432845.vcf,SAMEA3432845,SAMEA3432845
5842,SAMEA1118745,,,,,,,,,S,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1118745/pilon/SAMEA1118745.vcf,SAMEA1118745,SAMEA1118745
5844,SAMEA3209538,,,,,,,,,S,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3209538/pilon/SAMEA3209538.vcf,SAMEA3209538,SAMEA3209538
5862,SAMEA1117730,,,,,,,,,S,,,S,,,,,,,,R,,S,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1117730/pilon/SAMEA1117730.vcf,SAMEA1117730,SAMEA1117730
5865,SAMEA1101704,,,,,,,,,S,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1101704/pilon/SAMEA1101704.vcf,SAMEA1101704,SAMEA1101704
5874,SAMN08214910,,,,,,,,,S,,,S,,,,,,,,NAN,,R,S,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN08214910/pilon/SAMN08214910.vcf,SAMN08214910,SAMN08214910
5884,SAMEA1101398,,,,,,,,,NAN,,,R,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1101398/pilon/SAMEA1101398.vcf,SAMEA1101398,SAMEA1101398
5885,SAMEA1119472,,,,,,,,,S,,,R,,,,,,,,S,,S,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1119472/pilon/SAMEA1119472.vcf,SAMEA1119472,SAMEA1119472
5892,SAMEA3414204,,,,,,,,,R,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3414204/pilon/SAMEA3414204.vcf,SAMEA3414204,SAMEA3414204
5893,SAMEA3346013,,,,,,,,,S,,,R,,,,,,,,S,,S,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3346013/pilon/SAMEA3346013.vcf,SAMEA3346013,SAMEA3346013
5895,SAMEA3450069,,,,,,,,,R,,,NAN,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3450069/pilon/SAMEA3450069.vcf,SAMEA3450069,SAMEA3450069
5900,SAMN07236515,,,,,,,,,R,,,R,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN07236515/pilon/SAMN07236515.vcf,SAMN07236515,SAMN07236515
5902,SAMEA3401667,,,,,,,,,R,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3401667/pilon/SAMEA3401667.vcf,SAMEA3401667,SAMEA3401667
5906,SAMEA3376851,,,,,,,,,S,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3376851/pilon/SAMEA3376851.vcf,SAMEA3376851,SAMEA3376851
5909,SAMEA1102343,,,,,,,,,R,,,R,,,,,,,,S,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1102343/pilon/SAMEA1102343.vcf,SAMEA1102343,SAMEA1102343
5915,SAMEA1102311,,,,,,,,,R,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1102311/pilon/SAMEA1102311.vcf,SAMEA1102311,SAMEA1102311
5925,SAMEA3403352,,,,,,,,,R,,,R,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3403352/pilon/SAMEA3403352.vcf,SAMEA3403352,SAMEA3403352
5933,SAMN07236362,,,,,,,,,R,,,R,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN07236362/pilon/SAMN07236362.vcf,SAMN07236362,SAMN07236362
5941,SAMEA2709746,,,,,,,,,S,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA2709746/pilon/SAMEA2709746.vcf,SAMEA2709746,SAMEA2709746
5948,SAMEA104172474,,,,,,,,,R,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA104172474/pilon/SAMEA104172474.vcf,SAMEA104172474,SAMEA104172474
5950,SAMEA3178934,,,,,,,,,S,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3178934/pilon/SAMEA3178934.vcf,SAMEA3178934,SAMEA3178934
5951,SAMEA1919463,,,,,,,,,S,,,R,,,,,,,,S,,S,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1919463/pilon/SAMEA1919463.vcf,SAMEA1919463,SAMEA1919463
5952,SAMN08215276,,,,,,,,,S,,,R,,,,,,,,S,,S,S,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN08215276/pilon/SAMN08215276.vcf,SAMN08215276,SAMN08215276
5954,SAMEA2534075,,,,,,,,,S,,,R,,,,,,,,R,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA2534075/pilon/SAMEA2534075.vcf,SAMEA2534075,SAMEA2534075
5955,SAMN08215027,,,,,,,,,S,,,R,,,,,,,,S,,R,S,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMN08215027/pilon/SAMN08215027.vcf,SAMN08215027,SAMN08215027
5961,SAMEA3445337,,,,,,,,,S,,,R,,,,,,,,S,,S,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA3445337/pilon/SAMEA3445337.vcf,SAMEA3445337,SAMEA3445337
5971,SAMEA2533798,,,,,,,,,R,,,R,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA2533798/pilon/SAMEA2533798.vcf,SAMEA2533798,SAMEA2533798
5993,SAMEA1101291,,,,,,,,,NAN,,,R,,,,,,,,NAN,,R,,set2,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1101291/pilon/SAMEA1101291.vcf,SAMEA1101291,SAMEA1101291
